index,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
11893,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,52
945,city_126,0.479,Female,No relevent experience,Part time course,Masters,STEM,9,,,1,99
1901,city_114,0.926,Male,Has relevent experience,Part time course,,,>20,,,never,52
16155,city_90,0.698,,No relevent experience,Part time course,Graduate,STEM,7,,,1,22
10119,city_36,0.893,Male,Has relevent experience,no_enrollment,,,12,50-99,Pvt Ltd,4,11
19053,city_27,0.848,Male,No relevent experience,no_enrollment,High School,,4,,,never,16
6389,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,1,204
18329,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,102
11760,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,5,1000-4999,Pvt Ltd,1,43
13278,city_173,0.878,Male,Has relevent experience,Part time course,High School,,15,100-500,Pvt Ltd,3,15
14350,city_30,0.698,Male,Has relevent experience,Full time course,High School,,9,50-99,Pvt Ltd,1,106
9423,city_103,0.92,,No relevent experience,no_enrollment,High School,,1,,Pvt Ltd,1,12
6346,city_173,0.878,Male,No relevent experience,Full time course,Masters,STEM,9,,,1,50
16119,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,1,47
1866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,41
12178,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,17
4326,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,14,10000+,Pvt Ltd,>4,25
1325,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,10,,,>4,6
1004,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,1,40
6385,city_40,0.7759999999999999,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,15
18555,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,>4,146
812,city_83,0.923,,No relevent experience,Full time course,Graduate,STEM,2,100-500,NGO,1,61
17137,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,5
3707,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,4
12774,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,2,36
17125,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,1,108
10488,city_75,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,500-999,Pvt Ltd,1,10
18160,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,8,10/49,Early Stage Startup,never,34
4275,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,1,,,1,52
7293,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,14
10670,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,never,24
5088,city_116,0.743,,Has relevent experience,Part time course,Masters,STEM,2,<10,Pvt Ltd,1,58
10951,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,5,,,1,112
7622,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,5000-9999,Pvt Ltd,2,95
16053,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,,4,84
469,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,Pvt Ltd,1,100
12304,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,,,1,69
18442,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,4,8
19036,city_24,0.698,Male,No relevent experience,Full time course,High School,,9,,,never,4
18434,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,1,34
8146,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,4,286
3677,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,never,10
398,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,4,,,never,55
16614,city_16,0.91,,Has relevent experience,Part time course,High School,,4,1000-4999,Pvt Ltd,1,84
1550,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,33
18886,city_149,0.6890000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,9,,,1,3
14059,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,13,10000+,Pvt Ltd,,90
13457,city_21,0.624,,No relevent experience,no_enrollment,Graduate,STEM,<1,<10,Pvt Ltd,1,111
117,city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90
15456,city_16,0.91,Female,No relevent experience,no_enrollment,Graduate,Arts,3,50-99,Pvt Ltd,2,3
13184,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,16
274,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,10,100-500,Pvt Ltd,>4,46
7633,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Funded Startup,1,13
6864,city_165,0.903,,No relevent experience,Part time course,High School,,1,,,1,63
19145,city_44,0.725,,No relevent experience,Full time course,Graduate,STEM,5,,Pvt Ltd,never,190
2533,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,1,89
13824,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,>4,166
18659,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,3,,,1,23
15197,city_160,0.92,,No relevent experience,no_enrollment,High School,,3,,,never,44
4791,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,33
16430,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,,,1,306
12456,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,15,<10,Pvt Ltd,>4,76
4729,city_21,0.624,,Has relevent experience,Full time course,Masters,STEM,5,,,1,188
9831,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,4,53
15963,city_160,0.92,,No relevent experience,no_enrollment,Graduate,STEM,13,,,>4,108
11964,city_57,0.866,Male,No relevent experience,Full time course,High School,,4,,,never,122
2194,city_114,0.926,,Has relevent experience,Part time course,Graduate,STEM,11,,,4,61
12730,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,>4,24
10414,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,64
5898,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,3,,,never,29
9623,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,2,50
10134,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,6
5590,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,84
17642,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,NGO,1,74
2029,city_46,0.762,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,15
12354,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,13,,,3,11
8216,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,NGO,>4,70
4881,city_16,0.91,Other,Has relevent experience,no_enrollment,Masters,No Major,10,<10,Pvt Ltd,1,105
16274,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,50-99,,1,107
7317,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,7,1000-4999,Pvt Ltd,1,15
8950,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,66
18040,city_57,0.866,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,23
4526,city_40,0.7759999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,9
11892,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,1,28
11315,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,8,,,1,64
10774,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,20
8797,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,1,52
2331,city_67,0.855,,Has relevent experience,no_enrollment,Masters,STEM,3,,,1,15
6497,city_67,0.855,Male,No relevent experience,no_enrollment,Graduate,Humanities,20,,,1,17
9122,city_136,0.897,Male,No relevent experience,Full time course,Masters,STEM,4,50-99,Funded Startup,1,11
11539,city_166,0.649,,Has relevent experience,Full time course,,,5,<10,Other,,188
12324,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,232
8893,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,2,244
12024,city_67,0.855,,Has relevent experience,,Graduate,STEM,10,10/49,,2,298
15842,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,never,11
1649,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,3,10000+,,3,210
10814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,,,1,140
8936,city_100,0.887,Other,Has relevent experience,,Graduate,Humanities,>20,,,1,37
2539,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,10000+,,1,12
17434,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,>4,34
13417,city_145,0.555,Male,No relevent experience,Full time course,High School,,3,,,never,46
15517,city_23,0.899,Male,Has relevent experience,Part time course,Primary School,,11,5000-9999,Pvt Ltd,1,178
2606,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,20
15844,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,40
15681,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,13,50-99,Pvt Ltd,3,75
7142,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,16,,,>4,54
613,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,15,1000-4999,Pvt Ltd,4,11
8687,city_97,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,124
18205,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,12,10/49,Pvt Ltd,>4,21
12203,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,9
5860,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,41
10569,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,4,42
15408,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,106
18007,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,1,16
18048,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,1,46
14136,city_19,0.682,Male,No relevent experience,Full time course,Graduate,STEM,2,,Pvt Ltd,never,13
14212,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,10
16047,city_16,0.91,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,NGO,4,65
5616,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,7,100-500,Pvt Ltd,1,154
13572,city_176,0.764,,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Early Stage Startup,1,7
256,city_46,0.762,Other,Has relevent experience,Part time course,High School,,3,10/49,Pvt Ltd,1,262
9920,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,10,500-999,,1,50
11509,city_73,0.754,Male,Has relevent experience,Part time course,High School,,7,<10,Pvt Ltd,2,176
5146,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,10,,,1,138
8091,city_114,0.926,Other,Has relevent experience,no_enrollment,,,>20,,,never,154
15180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,74
4510,city_114,0.926,,Has relevent experience,no_enrollment,,,>20,<10,Pvt Ltd,never,97
3067,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,<1,,,1,30
12343,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,1000-4999,Public Sector,>4,50
17763,city_160,0.92,Female,No relevent experience,Full time course,Graduate,STEM,9,,,1,12
10858,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,4,14
1629,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Public Sector,2,78
4402,city_20,0.7959999999999999,Male,No relevent experience,Full time course,High School,,6,,,never,41
8801,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,80
9008,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,180
6908,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,2,26
8167,city_114,0.926,,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Other,2,26
1995,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,4,,Public Sector,1,15
6323,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,48
9780,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,78
11600,city_21,0.624,,No relevent experience,no_enrollment,Masters,STEM,3,,Pvt Ltd,never,2
9522,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,23
9196,city_101,0.5579999999999999,,No relevent experience,no_enrollment,Masters,Humanities,4,,,1,46
7098,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,3,51
3246,city_83,0.923,Male,Has relevent experience,Full time course,High School,,9,,,1,56
18677,city_141,0.763,,No relevent experience,no_enrollment,High School,,<1,,,never,28
2820,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Public Sector,>4,94
6401,city_141,0.763,,Has relevent experience,no_enrollment,Masters,STEM,8,<10,Pvt Ltd,1,56
10406,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,<10,Pvt Ltd,1,111
7944,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,5000-9999,Pvt Ltd,>4,69
12736,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,never,48
10568,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,74
8136,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,44
14354,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,NGO,1,8
16674,city_103,0.92,Male,No relevent experience,Full time course,High School,,5,,,3,98
9477,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,,,,48
4509,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Humanities,3,,,1,58
868,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,>4,14
3468,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Business Degree,2,,,1,42
7261,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,>4,22
4443,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,,11,100-500,Pvt Ltd,>4,119
3684,city_138,0.836,Male,Has relevent experience,Part time course,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,29
10637,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,,,4,20
11213,city_114,0.926,Female,No relevent experience,Full time course,Graduate,STEM,2,,,2,125
17982,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,107
3875,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,4
7999,city_103,0.92,,Has relevent experience,no_enrollment,,,20,1000-4999,Pvt Ltd,>4,74
17716,city_103,0.92,Male,No relevent experience,Full time course,High School,,7,,,never,69
16658,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,19,10000+,Pvt Ltd,>4,56
7951,city_114,0.926,,No relevent experience,no_enrollment,Masters,STEM,14,500-999,Pvt Ltd,3,36
17471,city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,17,,Pvt Ltd,>4,52
18285,city_11,0.55,Male,No relevent experience,Full time course,Masters,STEM,10,,,>4,57
6848,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,,,1,103
18005,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,3,<10,Funded Startup,1,60
13493,city_39,0.898,Male,No relevent experience,no_enrollment,High School,,4,,,2,48
5151,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,10
15932,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,1,264
10223,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,,2,19
17343,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,2,108
10840,city_152,0.698,,No relevent experience,,High School,,3,,,never,56
14404,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,26
12453,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,Pvt Ltd,2,40
12578,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11,,,1,62
17808,city_103,0.92,Male,Has relevent experience,no_enrollment,,,>20,,,>4,150
4334,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,3,,,1,43
2189,city_28,0.939,Other,No relevent experience,Full time course,High School,,3,100-500,Pvt Ltd,3,17
10861,city_21,0.624,Male,No relevent experience,Full time course,High School,,7,,,never,146
17764,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,20,,,3,70
5770,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,2,128
7566,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,<10,Pvt Ltd,1,240
4897,city_11,0.55,,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,>4,12
231,city_142,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,37
16032,city_160,0.92,,No relevent experience,Full time course,Graduate,STEM,3,,,1,34
16580,city_105,0.794,,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,,2,44
15266,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Pvt Ltd,1,18
2766,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,>4,113
12401,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Public Sector,2,8
9715,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,never,28
9417,city_114,0.926,,No relevent experience,Full time course,Masters,STEM,8,1000-4999,Public Sector,>4,19
9052,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,11,500-999,Funded Startup,1,22
5493,city_136,0.897,Female,No relevent experience,no_enrollment,Masters,STEM,6,500-999,Public Sector,4,72
10647,city_149,0.6890000000000001,,No relevent experience,no_enrollment,High School,,2,,,never,88
17067,city_21,0.624,,No relevent experience,Full time course,High School,,6,,,4,188
9546,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,Humanities,14,10000+,Pvt Ltd,1,158
8382,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,15,,,4,50
16711,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,4,35
1885,city_102,0.804,,Has relevent experience,Full time course,High School,,6,,,1,99
10750,city_65,0.802,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Early Stage Startup,1,19
4293,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,,4,55
4140,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10,,,3,23
8199,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,70
7389,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10/49,Pvt Ltd,>4,51
19122,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Pvt Ltd,3,78
17927,city_21,0.624,Male,No relevent experience,no_enrollment,High School,,4,,Pvt Ltd,never,21
8301,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,124
17025,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,NGO,3,60
1980,city_162,0.767,,Has relevent experience,Full time course,Graduate,STEM,6,500-999,NGO,1,155
9106,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Business Degree,2,100-500,NGO,1,7
16003,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Public Sector,>4,168
18496,city_67,0.855,Male,Has relevent experience,no_enrollment,Phd,STEM,12,,,1,45
7282,city_21,0.624,Female,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,>4,102
13491,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,9,,NGO,,49
2295,city_74,0.579,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,2,83
8114,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,2,55
5410,city_77,0.83,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,19
11973,city_114,0.926,Male,Has relevent experience,Part time course,Masters,Other,19,50-99,Pvt Ltd,2,4
13078,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Public Sector,1,45
10564,city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,never,74
11383,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,2,17
11882,city_36,0.893,Male,No relevent experience,no_enrollment,High School,,5,,,never,43
326,city_157,0.769,Male,Has relevent experience,Part time course,Masters,STEM,11,,,1,17
6464,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,107
6100,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,4,10/49,Pvt Ltd,1,88
12737,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,1,22
13425,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,2,,,1,43
6840,city_131,0.68,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,39
13418,city_103,0.92,Male,No relevent experience,Full time course,High School,,6,50-99,Public Sector,2,47
10124,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,3,56
15055,city_21,0.624,Male,Has relevent experience,Full time course,,,2,50-99,Pvt Ltd,1,99
15847,city_103,0.92,,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,4,94
18354,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,8,100-500,Funded Startup,2,262
